startTime,endTime,label
19.64468,19.64468,tissue
19.64472,19.64472,tissue
19.66574,19.66578,tissue
19.6658,19.6658,tissue
19.68614,19.68614,tissue
19.6862,19.6862,tissue
19.85079,19.85085,tissue
19.85086,19.85086,tissue
19.85096,19.85096,tissue
19.851,19.851,tissue
19.85104,19.85104,tissue
19.8511,19.8511,tissue
20.34,20.34,tissue
20.34004,20.34004,tissue
20.32302,20.35715,tissue
20.34014,20.34014,tissue
20.5181,20.5181,tissue
20.5182,20.5182,tissue
20.51826,20.51826,tissue
20.51833,20.51835,tissue
20.51842,20.51842,tissue
20.5185,20.5185,tissue
20.51861,20.51864,tissue
20.51868,20.51868,tissue
20.51878,20.51878,tissue
20.51886,20.51886,tissue
20.519,20.51904,tissue
20.5191,20.5191,tissue
20.51916,20.51916,tissue
20.51931,20.51933,tissue
20.51929,20.51943,tissue
20.89378,20.89378,tissue
20.919,20.919,tissue
20.94558,20.94562,tissue
20.9728,20.9728,tissue
21.01839,21.01841,tissue
25.14398,25.14398,water
25.14404,25.14404,water
25.1441,25.1441,water
25.16636,25.16636,water
25.16672,25.16672,water
25.16692,25.16697,water
25.16706,25.16706,water
25.16741,25.16752,water
25.1689,25.1689,water
25.16956,25.16956,water
25.16974,25.16974,water
25.16992,25.16992,water
25.17028,25.17028,water
25.17043,25.17045,water
25.1706,25.1706,water
25.17069,25.17071,water
25.17116,25.17116,water
25.1712,25.1712,water
25.17131,25.17133,water
25.17136,25.17136,water
25.17143,25.17145,water
25.17148,25.17148,water
25.17151,25.17154,water
25.17163,25.17169,water
25.17176,25.17176,water
25.17192,25.17192,water
25.17198,25.17198,water
25.17207,25.17217,water
25.17224,25.17224,water
25.1723,25.1723,water
25.17236,25.17236,water
25.17254,25.17254,water
25.17261,25.17263,water
25.17265,25.17267,water
25.1727,25.1727,water
25.17276,25.1728,water
25.1732,25.1732,water
25.17342,25.17342,water
25.17354,25.17358,water
25.1736,25.1736,water
25.17436,25.17436,water
25.23288,25.23288,water
25.233,25.233,water
25.24614,25.24614,tissue
25.2698,25.2698,tissue
25.26982,25.26994,tissue
25.26992,25.26992,tissue
25.27,25.27,tissue
25.292,25.292,tissue
25.29207,25.29209,tissue
25.36538,25.36543,tissue
25.39848,25.39848,tissue
25.39862,25.39862,tissue
25.39868,25.39868,tissue
25.39874,25.39874,tissue
25.3989,25.3989,tissue
26.65293,26.65295,tissue
26.67545,26.67547,tissue
26.67552,26.67556,tissue
26.67564,26.67564,tissue
26.69181,26.69187,tissue
26.70766,26.70766,tissue
26.70771,26.70774,tissue
26.71546,26.71546,tissue
26.71574,26.71582,tissue
26.82604,26.82608,tissue
26.82618,26.82618,tissue
26.82638,26.82638,tissue
26.8265,26.8265,tissue
26.82656,26.82656,tissue
26.82664,26.82664,tissue
26.82682,26.82682,tissue
26.82686,26.82686,tissue
26.8269,26.8269,tissue
26.82704,26.82704,tissue
26.82714,26.82714,tissue
26.82722,26.82722,tissue
26.82724,26.82728,tissue
26.82733,26.82735,tissue
26.82738,26.82742,tissue
26.99093,26.99099,tissue
26.99156,26.99156,tissue
26.99168,26.99168,tissue
26.99176,26.99176,tissue
26.99191,26.99197,tissue
26.99198,26.99198,tissue
26.99201,26.99203,tissue
26.99206,26.9921,tissue
26.99222,26.99222,tissue
26.99228,26.99228,tissue
26.99242,26.99242,tissue
26.99258,26.99258,tissue
26.99264,26.99264,tissue
26.9928,26.9928,tissue
26.99285,26.99295,tissue
26.99294,26.99294,tissue
26.99305,26.99307,tissue
26.9931,26.9931,tissue
26.99322,26.99322,tissue
26.99334,26.99334,tissue
26.99338,26.99338,tissue
26.99348,26.99348,tissue
26.99354,26.99354,tissue
26.9936,26.99364,tissue
26.9937,26.9937,tissue
26.99384,26.99384,tissue
26.99418,26.99418,tissue
26.99426,26.99426,tissue
26.99436,26.99436,tissue
26.99443,26.99445,tissue
26.9948,26.9948,tissue
26.99492,26.99492,tissue
26.99496,26.99504,tissue
26.99538,26.99538,tissue
26.99813,26.99819,tissue
26.99918,26.99918,tissue
26.99925,26.99931,tissue
26.99957,26.99959,tissue
26.9998,26.9998,tissue
26.99983,26.99985,tissue
27.00018,27.00018,tissue
27.0003,27.0003,tissue
27.0005,27.00051,tissue
27.00071,27.00073,tissue
27.00076,27.00076,tissue
27.00084,27.00084,tissue
27.0009,27.0009,tissue
27.00112,27.0012,tissue
27.00119,27.00121,tissue
27.00126,27.00126,tissue
27.0013,27.0013,tissue
27.00134,27.00142,tissue
27.00146,27.00146,tissue
27.00152,27.00152,tissue
27.00161,27.00167,tissue
27.00172,27.00172,tissue
27.00177,27.00183,tissue
27.00192,27.00192,tissue
27.00218,27.00218,tissue
27.00242,27.00242,tissue
27.00248,27.00248,tissue
27.0026,27.0026,tissue
27.00277,27.00283,tissue
27.00913,27.00915,tissue
27.00974,27.00974,tissue
27.00987,27.00994,tissue
27.01011,27.01013,tissue
27.01022,27.01022,tissue
27.01042,27.01042,tissue
27.01047,27.01049,tissue
27.01051,27.01053,tissue
27.01065,27.01068,tissue
27.01071,27.01081,tissue
27.0108,27.0108,tissue
27.0109,27.0109,tissue
27.01098,27.01098,tissue
27.01105,27.01112,tissue
